PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,456436109,0.2885671,-0.62408566,-0.34057215,-0.641293,1.4428805112838745,0.043293774127960205,0.09595468640327454,-4.898489952087402,0.38039687275886536, -3.431459426879883
2,456452776,0.31975007,-0.61413664,-0.321592,-0.64589065,18.358741760253906,0.23836420476436615,-2.9664061069488525,53.591949462890625,290.15081787109375, 166.33834838867188
3,456469443,0.34751496,-0.61277515,-0.30319297,-0.6417276,19.209009170532227,-1.6090428829193115,-4.41545295715332,51.174957275390625,279.2316589355469, 165.60592651367188
4,456486110,0.37677297,-0.6170801,-0.28857905,-0.62767565,19.295602798461914,-2.3628528118133545,-5.451733589172363,99.61603546142578,263.0516357421875, 164.97344970703125
5,456502777,0.40686095,-0.6197863,-0.2811677,-0.60932267,18.76542091369629,-0.4911561608314514,-5.700058460235596,163.81756591796875,246.8744354248047, 154.51580810546875
6,456519444,0.43123323,-0.61612105,-0.2836366,-0.5949649,18.104705810546875,10.054826736450195,-5.0677595138549805,196.11178588867188,235.90708923339844, 120.68419647216797
7,456536111,0.42562467,-0.6129189,-0.29499897,-0.59678286,13.268454551696777,3.755478620529175,-10.449278831481934,55.785194396972656,192.16004943847656, 78.33303833007812
8,456552778,0.41241068,-0.6200443,-0.30978894,-0.59117967,9.50285816192627,6.099590301513672,-15.54074478149414,24.872591018676758,116.62098693847656, 68.25293731689453
9,456569445,0.3815432,-0.6405716,-0.32938126,-0.57931066,7.602822780609131,1.9750760793685913,-16.268306732177734,-50.07826614379883,17.915555953979492, 25.836088180541992
10,456586112,0.35154077,-0.6630416,-0.35936454,-0.55466396,10.201433181762695,3.2514166831970215,-15.044675827026367,19.987911224365234,-63.20060348510742, -12.656908988952637
11,456602779,0.3200052,-0.6849416,-0.3915949,-0.5245046,11.670814514160156,4.619848728179932,-11.199960708618164,33.83359146118164,-110.61599731445312, -37.412841796875
12,456619446,0.28908876,-0.7038049,-0.4223305,-0.49266964,13.107256889343262,2.5265674591064453,-9.458090782165527,39.8840446472168,-141.38450622558594, -44.300018310546875
13,456636113,0.26292437,-0.71879923,-0.45162433,-0.45851266,14.059919357299805,1.282478928565979,-8.801406860351562,68.1906509399414,-164.33926391601562, -47.48849105834961
14,456652780,0.24248146,-0.7303683,-0.47883284,-0.42247397,14.798158645629883,0.4968549609184265,-8.068592071533203,96.86393737792969,-178.81927490234375, -46.369441986083984
15,456669447,0.22549708,-0.74045557,-0.49787855,-0.39114434,16.652286529541016,-9.870058059692383,7.646418571472168,72.82952880859375,-160.0068817138672, -24.395923614501953
16,456686114,0.22553949,-0.74503803,-0.51097,-0.36463693,11.96487045288086,-6.519509315490723,15.581871032714844,119.7283706665039,-113.71598052978516, -4.763242244720459
