PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,636562418,0.39934897,-0.025162624,-0.13363175,0.90665853,0.15943056344985962,0.29397186636924744,0.2694008946418762,1.6046805381774902,0.27576032280921936, 0.9720691442489624
2,636579085,0.39948443,-0.025644783,-0.13201204,0.9068228,0.8474801778793335,-2.612868070602417,9.33816146850586,6.4111714363098145,31.338239669799805, 10.28302001953125
3,636595752,0.39975536,-0.026714945,-0.13053529,0.9068862,0.4182695150375366,-2.1902642250061035,9.214818000793457,9.53599739074707,30.529979705810547, 10.855606079101562
4,636612419,0.39997515,-0.02916712,-0.12650084,0.90728545,0.40486621856689453,-2.367980718612671,9.499588012695312,11.09545612335205,28.777324676513672, 11.398942947387695
5,636629086,0.40008625,-0.031715088,-0.12221064,0.907739,0.5872779488563538,-2.350720167160034,10.365514755249023,13.517268180847168,25.353485107421875, 10.68224048614502
6,636645753,0.40046647,-0.033724036,-0.11851496,0.9079888,0.29310131072998047,-2.1670849323272705,10.735583305358887,9.20641040802002,22.579971313476562, 9.437630653381348
7,636662420,0.40054068,-0.03631944,-0.11568496,0.908221,0.09411977231502533,-1.4484903812408447,9.855584144592285,-0.7179895043373108,21.910741806030273, 9.401410102844238
8,636679087,0.40025786,-0.039071005,-0.112698644,0.9086067,0.05806032940745354,-1.7468383312225342,8.982550621032715,-4.962278842926025,21.379047393798828, 11.246758460998535
9,636695754,0.3999292,-0.041410074,-0.10901975,0.90909654,-0.12097665667533875,-2.133084297180176,9.463284492492676,3.1871418952941895,20.46787452697754, 11.148239135742188
10,636712421,0.3989605,-0.043483686,-0.105397336,0.9098522,-0.10133776068687439,-2.194974184036255,9.917157173156738,7.282554626464844,18.6364803314209, 10.018904685974121
11,636729088,0.39804813,-0.04569884,-0.10250104,0.910474,-0.22443225979804993,-1.9480066299438477,9.984703063964844,4.685664653778076,17.742820739746094, 9.15854549407959
12,636745755,0.3970838,-0.048211787,-0.10034968,0.9110051,-0.23514355719089508,-1.947632908821106,9.674545288085938,-0.1759466677904129,17.504451751708984, 9.159913063049316
13,636762422,0.3959803,-0.051046286,-0.09885262,0.9114944,-0.5613666772842407,-2.091843605041504,9.205020904541016,-4.298367977142334,17.8885440826416, 9.945368766784668
14,636779089,0.39460877,-0.054169405,-0.09747294,0.91205734,-0.5426241755485535,-1.913496971130371,9.201797485351562,-4.380675315856934,18.589248657226562, 11.836896896362305
15,636795756,0.39302054,-0.0577939,-0.09610286,0.9126659,-0.5592759251594543,-2.117619752883911,9.59410285949707,-5.261501312255859,21.45189666748047, 13.611663818359375
16,636812423,0.3911369,-0.061854955,-0.094683826,0.913357,-0.3450787365436554,-2.0507688522338867,9.641894340515137,-5.4892401695251465,24.240859985351562, 16.018901824951172
17,636829090,0.3890569,-0.06619025,-0.09280308,0.91413414,-0.7232966423034668,-2.2961952686309814,9.049449920654297,-2.9873616695404053,27.778217315673828, 18.01144027709961
18,636845757,0.3867509,-0.07061794,-0.08991138,0.9150698,-0.8021350502967834,-2.2940614223480225,8.664892196655273,4.060061454772949,30.85831069946289, 20.40298843383789
19,636862424,0.38425666,-0.07549669,-0.086568326,0.91605306,-0.7786704897880554,-2.1556222438812256,8.778809547424316,6.4760003089904785,34.78664779663086, 22.260385513305664
20,636879091,0.3816277,-0.08091178,-0.08294581,0.9170244,-0.6405128240585327,-2.048207998275757,9.133563041687012,7.164496898651123,39.060081481933594, 23.6215763092041
21,636895758,0.37886575,-0.087014504,-0.079437666,0.917921,-0.7464602589607239,-2.325430393218994,9.240175247192383,4.640890121459961,43.60393524169922, 24.720121383666992
22,636912425,0.37595052,-0.09368756,-0.07581206,0.91876906,-0.6975670456886292,-2.0288002490997314,9.429646492004395,4.179351806640625,47.91698455810547, 26.084653854370117
23,636929092,0.37280002,-0.101416804,-0.07273578,0.9194806,-0.8364887833595276,-1.8447870016098022,9.310964584350586,-2.2599527835845947,53.71616744995117, 27.5393009185791
24,636945759,0.3694076,-0.10993179,-0.06984456,0.9200951,-0.9814479351043701,-1.6318408250808716,9.416789054870605,-5.810572624206543,58.62009811401367, 29.160564422607422
25,636962426,0.36562917,-0.119430095,-0.06762097,0.9205863,-1.2101794481277466,-1.892899990081787,9.32990837097168,-13.19861888885498,63.45918655395508, 31.289011001586914
26,636979093,0.36154053,-0.12978323,-0.06586205,0.9209272,-1.5341343879699707,-2.2331221103668213,9.651214599609375,-18.65595817565918,67.96285247802734, 32.9340934753418
27,636995760,0.35775387,-0.1398977,-0.06412703,0.92104757,-2.0284695625305176,-2.397402763366699,9.507091522216797,-17.908323287963867,66.90682983398438, 30.40036964416504
28,637012427,0.3545491,-0.14880648,-0.06163096,0.921061,-2.3988397121429443,-2.8224618434906006,9.566157341003418,-9.39979362487793,61.443145751953125, 26.681062698364258
29,637029094,0.35228637,-0.15576498,-0.058142096,0.9210055,-2.8149149417877197,-2.6979503631591797,9.752983093261719,2.9753897190093994,51.838287353515625, 20.800975799560547
30,637045761,0.35105515,-0.1605159,-0.054401882,0.92088836,-3.127011775970459,-2.488957643508911,9.991376876831055,11.223461151123047,38.722740173339844, 13.518912315368652
31,637062428,0.35064805,-0.16335629,-0.051381122,0.9207175,-3.358534574508667,-2.358522653579712,10.496338844299316,12.232873916625977,25.020923614501953, 6.6310906410217285
32,637079095,0.35074013,-0.16481629,-0.050350208,0.92047924,-3.441628932952881,-2.1984682083129883,10.772762298583984,3.4527535438537598,11.54912281036377, 0.5344540476799011
33,637095762,0.35099828,-0.16524076,-0.051776133,0.92022556,-3.4019997119903564,-2.1480212211608887,10.70499324798584,-9.54673957824707,-0.9835920929908752, -3.762481451034546
34,637112429,0.35096446,-0.16528097,-0.056257516,0.9199682,-3.1826696395874023,-1.651381254196167,11.225363731384277,-28.415847778320312,-10.977997779846191, -5.594254493713379
35,637129096,0.34996572,-0.16659038,-0.06605441,0.919461,-3.2582950592041016,-1.4357150793075562,11.428800582885742,-66.68031311035156,-15.798429489135742, -5.745138645172119
36,637145763,0.34905776,-0.16799249,-0.077690296,0.9186411,-2.9539456367492676,-1.8344639539718628,10.286169052124023,-79.05953216552734,-19.197965621948242, -9.273040771484375
37,637162430,0.349136,-0.16604565,-0.08654399,0.9181738,-2.5026466846466064,-3.4526124000549316,9.17608642578125,-52.382957458496094,-33.53954315185547, -13.302504539489746
