PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,1177602199,0.3849717,-0.08606282,-0.0054115574,0.9188911,-0.023637738078832626,0.12834478914737701,-0.06833191961050034,0.1359940469264984,-0.021507589146494865, 0.023173585534095764
2,1177618866,0.38463843,-0.08671738,-0.00556361,0.91896814,-1.617873191833496,-0.7503158450126648,9.84282112121582,0.652208149433136,0.475762277841568, 0.4975203275680542
3,1177635533,0.38449103,-0.08725762,-0.0053664315,0.9189798,-1.5754122734069824,-0.6771727204322815,9.943107604980469,0.32545414566993713,-0.6689652800559998, -0.09486942738294601
4,1177652200,0.38422295,-0.08718371,-0.0049989577,0.91910106,-1.542721152305603,-0.7153598070144653,9.913776397705078,-0.4418575167655945,-1.3438984155654907, -0.474295973777771
5,1177668867,0.38400254,-0.08679696,-0.0048677237,0.9192305,-1.5346126556396484,-0.6508210897445679,9.802620887756348,-0.6904928088188171,-2.195725679397583, -0.41765347123146057
6,1177685534,0.3838566,-0.086252294,-0.0047138464,0.91934353,-1.5213210582733154,-0.7230494022369385,9.763452529907227,-0.6048823595046997,-2.769975423812866, -0.3278169631958008
7,1177702201,0.383639,-0.0857186,-0.0046928935,0.91948444,-1.5076904296875,-0.7809247970581055,9.721307754516602,-0.2870158851146698,-2.8883183002471924, -0.4388735890388489
8,1177718868,0.38364524,-0.085273474,-0.0048289974,0.91952246,-1.4630111455917358,-0.7665231823921204,9.771846771240234,-0.34896019101142883,-2.7641992568969727, -0.6949877738952637
9,1177735535,0.38375846,-0.08491032,-0.0051309257,0.9195071,-1.442226767539978,-0.7383847832679749,9.742790222167969,-1.1019480228424072,-2.360184669494629, -1.1761736869812012
10,1177752202,0.38389936,-0.08457066,-0.0054678144,0.91947776,-1.4851356744766235,-0.6781840324401855,9.748435974121094,-1.256559133529663,-2.114802360534668, -1.4664039611816406
