PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,1461414342,0.965644,0.06417372,-0.23434563,0.0921733,0,0,0,0,0, 0
2,1461431009,0.9688158,0.05437502,-0.22094297,0.098100364,5.785157680511475,0.09123826771974564,8.853795051574707,19.112398147583008,165.39100646972656, 7.897303104400635
3,1461447676,0.9712873,0.04691108,-0.20935853,0.10280736,5.272706508636475,-0.015041876584291458,8.985272407531738,16.202409744262695,164.60719299316406, 7.416891574859619
4,1461464343,0.97405165,0.041872986,-0.1951975,0.106622934,4.791108131408691,0.05322809889912605,8.430545806884766,19.524248123168945,164.0789794921875, 6.289798259735107
5,1461481010,0.9768946,0.039149646,-0.17907053,0.109899916,4.216037750244141,-0.012974459677934647,8.585332870483398,22.821008682250977,165.12583923339844, 6.434996128082275
6,1461497677,0.9797153,0.03616266,-0.16158146,0.112879045,3.7054080963134766,0.28535857796669006,8.771626472473145,15.304498672485352,161.1308135986328, 8.426186561584473
7,1461514344,0.9823421,0.032624923,-0.14352816,0.1154972,3.4947803020477295,0.16846127808094025,6.7773966789245605,3.9189014434814453,154.50607299804688, 10.412025451660156
8,1461531011,0.98451316,0.030451346,-0.12623678,0.117775366,2.6933836936950684,0.33340346813201904,7.068646430969238,8.479349136352539,149.189208984375, 8.865005493164062
9,1461547678,0.9863888,0.027672596,-0.10954542,0.119462825,2.0161542892456055,0.969896674156189,6.707484245300293,-0.0532781146466732,140.0491180419922, 7.101773738861084
10,1461564345,0.9879933,0.024310375,-0.09359985,0.12048759,1.5348994731903076,0.3914320766925812,5.4967145919799805,-11.071135520935059,129.6612091064453, 5.040246486663818
11,1461581012,0.98927647,0.021458423,-0.07856207,0.12124205,0.9018290042877197,0.4443724453449249,5.201947212219238,-9.096027374267578,119.330810546875, 3.47200870513916
12,1461597679,0.99030024,0.019725943,-0.06398983,0.12174525,0.3769831359386444,0.23284359276294708,5.863667964935303,-2.5833194255828857,110.99365997314453, 1.5814416408538818
13,1461614346,0.9910805,0.01914913,-0.04983598,0.122103326,-0.15295691788196564,-0.21836115419864655,6.658849716186523,5.381524085998535,102.72362518310547, 0.2905292510986328
14,1461631013,0.991623,0.019838879,-0.036225654,0.12238589,-0.4653235971927643,-0.44851499795913696,6.418847560882568,15.365629196166992,93.6589126586914, -0.5221955180168152
15,1461647680,0.99196124,0.021148855,-0.023443647,0.12254009,-1.0911837816238403,-0.33479875326156616,6.296694755554199,20.728300094604492,84.38711547851562, -1.3142353296279907
16,1461664347,0.9921643,0.02211887,-0.012113739,0.12236816,-1.2102694511413574,-0.18926046788692474,5.64321756362915,18.17386245727539,71.66871643066406, -3.0482521057128906
