PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
2,2236017197,0.9214152,0.11959522,-0.04381036,0.36711305,0.013713642954826355,1.2405768632888794,5.718566417694092,-6.15814733505249,104.70633697509766, 4.413310527801514
3,2236033864,0.9224118,0.11583482,-0.021577377,0.36779526,-0.7197139263153076,1.2842646837234497,5.367312431335449,8.518308639526367,88.0715103149414, 0.7254677414894104
4,2236050531,0.92313236,0.112259194,0.0005291431,0.36772862,-1.1640760898590088,1.3946528434753418,5.787248611450195,15.547529220581055,73.1924819946289, -1.6600303649902344
5,2236067198,0.9234728,0.10896461,0.020377507,0.36730054,-1.3561491966247559,1.5834972858428955,5.79525089263916,16.470346450805664,58.05696487426758, -1.6174370050430298
6,2236083865,0.9235718,0.105715744,0.036593515,0.36674285,-1.6256558895111084,1.693334698677063,5.025066375732422,8.30911636352539,43.21139144897461, -0.8998313546180725
7,2236100532,0.9235419,0.10335724,0.04958111,0.36596355,-1.652500033378601,1.9847782850265503,3.915137529373169,4.118834495544434,28.204200744628906, -1.194361925125122
8,2236117199,0.9234025,0.10266037,0.059993844,0.36495158,-1.9775140285491943,1.874607801437378,3.5041821002960205,3.472797393798828,15.651469230651855, -2.0089850425720215
9,2236133866,0.92331773,0.10286393,0.06768901,0.36376056,-2.2259554862976074,2.088261842727661,3.084646224975586,1.3591442108154297,0.548784077167511, -2.136854648590088
10,2236150533,0.9232855,0.10408755,0.07310429,0.36244377,-2.360595703125,2.429234027862549,3.540802478790283,0.7065972089767456,-13.572344779968262, -1.7477476596832275
11,2236167200,0.92324555,0.106529705,0.0770177,0.36102274,-2.205514907836914,3.2006986141204834,5.046713829040527,3.722614049911499,-23.37822723388672, -1.3446437120437622
12,2236183867,0.9234704,0.107897535,0.07743297,0.35995147,-2.083841562271118,4.082637310028076,3.7763354778289795,-13.530717849731445,-38.78794860839844, 1.2180511951446533
13,2236200534,0.9246446,0.106036276,0.06663901,0.3596499,-1.7148828506469727,3.068732976913452,-13.947794914245605,-67.21751403808594,-98.44129180908203, 9.259744644165039
14,2236217201,0.92743623,0.11058199,0.032539707,0.35577393,18.342426300048828,-0.9864729642868042,-34.58342742919922,-96.3755111694336,-265.3342590332031, 2.8594560623168945
15,2236233868,0.92991024,0.11006486,-0.013099053,0.35068703,6.474963665008545,-5.420563220977783,16.432573318481445,-166.911376953125,-274.67706298828125, -5.019817352294922
16,2236250535,0.930612,0.114564404,-0.05405725,0.3433864,4.32086181640625,-5.666371822357178,-0.9527528882026672,-91.39453125,-250.76560974121094, -20.121681213378906
17,2236267202,0.92939764,0.11736437,-0.09511407,0.336748,-0.7412135601043701,-2.3816583156585693,1.5649665594100952,-86.41770935058594,-244.36900329589844, -12.253358840942383
18,2236283869,0.92697114,0.120931074,-0.1288912,0.33088872,0.5493459105491638,4.4790730476379395,3.738189697265625,-57.827823638916016,-207.459716796875, -10.306446075439453
19,2236300536,0.92734236,0.12377662,-0.15826342,0.315703,5.899624824523926,5.0762038230896,7.33922004699707,-48.75218963623047,-180.30540466308594, -21.499380111694336
20,2236317203,0.92450565,0.13146505,-0.18272628,0.3075995,10.575482368469238,2.89231538772583,8.797117233276367,-21.324262619018555,-163.90867614746094, -31.040897369384766
21,2236333870,0.920416,0.1405835,-0.20644362,0.3007519,11.700723648071289,-1.6283838748931885,10.399078369140625,-8.142447471618652,-158.044189453125, -22.90801429748535
22,2236350537,0.91583824,0.14568427,-0.22911945,0.29583943,9.896777153015137,-4.389504909515381,4.920831680297852,-23.350893020629883,-139.0458221435547, -7.524438858032227
23,2236367204,0.9108019,0.14935376,-0.24951947,0.29304183,10.503113746643066,-5.04421854019165,6.262816429138184,-18.535083770751953,-117.904541015625, 3.360138177871704
24,2236383871,0.9053309,0.1550815,-0.26584885,0.29266053,11.810017585754395,-4.902670383453369,8.675798416137695,11.904359817504883,-93.67909240722656, 8.29682445526123
25,2236400538,0.8990149,0.16553332,-0.278334,0.29479036,12.266834259033203,-4.40756368637085,9.545482635498047,58.27714157104492,-78.15286254882812, 9.711158752441406
26,2236417205,0.8913505,0.18099909,-0.28726658,0.30035272,11.705717086791992,-2.7140302658081055,12.799666404724121,107.21890258789062,-65.96076965332031, 17.14657211303711
27,2236433872,0.8831613,0.19800678,-0.2938558,0.30735707,10.156108856201172,0.1830632984638214,11.027778625488281,126.47477722167969,-57.307979583740234, 19.27041244506836
28,2236450539,0.8747046,0.21437429,-0.29905573,0.31543848,10.255975723266602,1.4410223960876465,11.839014053344727,127.64137268066406,-49.84683609008789, 25.606571197509766
29,2236467206,0.8676896,0.23159738,-0.29812932,0.3234139,11.299306869506836,3.4023168087005615,13.455242156982422,143.01268005371094,-15.391122817993164, 11.456025123596191
30,2236483873,0.86134166,0.24237132,-0.30177322,0.32905865,7.772452354431152,3.2490782737731934,13.603707313537598,87.40674591064453,-33.76523208618164, 17.688846588134766
31,2236500540,0.8542381,0.2503033,-0.31030124,0.3336744,7.236113548278809,2.8944642543792725,11.8300199508667,57.84770584106445,-63.62160873413086, 28.784381866455078
32,2236517207,0.84631926,0.25784883,-0.32221442,0.3368024,9.358284950256348,3.524585723876953,7.547591209411621,45.25436782836914,-90.01888275146484, 29.784364700317383
33,2236533874,0.8385355,0.26478112,-0.33489308,0.33852038,11.259459495544434,2.878451108932495,10.255769729614258,35.1981086730957,-95.84931945800781, 25.069734573364258
34,2236550541,0.8302635,0.2719602,-0.3470189,0.34099606,8.815838813781738,1.5013090372085571,13.774823188781738,39.86588668823242,-94.01158142089844, 29.602754592895508
35,2236567208,0.8206645,0.28136906,-0.35943615,0.34372532,9.21672248840332,1.7441893815994263,13.18736457824707,55.08671569824219,-106.52059173583984, 29.737144470214844
36,2236583875,0.81171656,0.28876624,-0.37231645,0.34512436,9.468734741210938,2.6257662773132324,13.433977127075195,38.01551818847656,-107.7756576538086, 26.949169158935547
37,2236600542,0.80317,0.29530394,-0.38511685,0.3455412,9.45548152923584,2.155904769897461,14.778115272521973,29.840595245361328,-108.48782348632812, 23.199134826660156
38,2236617209,0.79504293,0.3012517,-0.3968048,0.34597704,8.887689590454102,2.3005764484405518,16.01091766357422,28.390329360961914,-102.32672882080078, 22.09337615966797
39,2236633876,0.78779817,0.30691645,-0.40599418,0.34690797,8.70409107208252,2.939976692199707,16.127004623413086,32.344276428222656,-87.37689971923828, 18.87054443359375
40,2236650543,0.7823188,0.31085682,-0.41262597,0.34797338,8.193802833557129,2.743375778198242,15.279755592346191,25.716999053955078,-66.8365707397461, 15.569158554077148
41,2236667210,0.7781159,0.31360912,-0.4170402,0.34966066,8.026856422424316,2.3045544624328613,13.638629913330078,23.64043617248535,-49.352684020996094, 15.199252128601074
42,2236683877,0.7747476,0.31519344,-0.41994515,0.35222954,8.383973121643066,2.4985756874084473,11.743408203125,21.695068359375,-35.79353332519531, 18.572589874267578
43,2236700544,0.77187735,0.3161396,-0.42180407,0.35544696,8.272136688232422,2.323707342147827,10.522625923156738,21.434206008911133,-26.77303123474121, 20.963661193847656
44,2236717211,0.7689377,0.31730893,-0.42328092,0.3590032,8.167739868164062,2.524721145629883,8.575580596923828,24.459463119506836,-25.32565689086914, 21.95697021484375
45,2236733878,0.76625186,0.31823617,-0.42437473,0.36261547,9.161238670349121,3.4772350788116455,8.446107864379883,23.404207229614258,-21.921295166015625, 22.017887115478516
46,2236750545,0.7642047,0.31798568,-0.42584437,0.3654217,9.590548515319824,3.9846935272216797,9.468107223510742,12.10281753540039,-20.79042625427246, 21.059213638305664
47,2236767212,0.7626698,0.31720614,-0.4274602,0.3674139,9.429235458374023,3.8933231830596924,9.5070219039917,5.074139595031738,-20.601028442382812, 17.987035751342773
48,2236783879,0.7611443,0.31671667,-0.4287047,0.36954343,9.25828742980957,3.619082450866699,9.040586471557617,7.584421634674072,-19.161386489868164, 17.57649803161621
49,2236800546,0.7589712,0.31855756,-0.42831922,0.37286273,8.888481140136719,3.3875372409820557,7.772872447967529,28.543354034423828,-15.888297080993652, 15.545592308044434
50,2236817213,0.7566987,0.3210014,-0.4276717,0.37611467,9.538163185119629,4.389706611633301,6.676485061645508,32.093666076660156,-16.31497573852539, 13.590736389160156
51,2236833880,0.7546446,0.32382286,-0.42713022,0.3784313,10.013526916503906,4.702550411224365,5.935906410217285,30.1882381439209,-18.827743530273438, 7.892737865447998
