PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
2,220515722,-0.011173901,-0.3277183,0.10254413,-0.93912756,6.0529961585998535,-1.7445157766342163,7.367216110229492,0.5604506731033325,0.2940785884857178, 1.9769608974456787
3,220532389,-0.011062531,-0.3283416,0.10222173,-0.93894637,6.071422100067139,-1.7204867601394653,7.401468276977539,0.4642365872859955,0.4342825710773468, 2.0879409313201904
4,220549056,-0.011256376,-0.32881323,0.101868615,-0.9388174,6.088551998138428,-1.7479451894760132,7.395051002502441,0.5214937925338745,0.43401363492012024, 2.185896635055542
5,220565723,-0.011427492,-0.32916442,0.10165391,-0.9387155,6.085203647613525,-1.7558866739273071,7.386173248291016,0.599868655204773,0.5896875262260437, 2.239875316619873
6,220582390,-0.011529142,-0.3293941,0.101522624,-0.9386478,6.03661584854126,-1.7800934314727783,7.377268314361572,0.7485760450363159,0.8123131990432739, 2.1828105449676514
7,220599057,-0.0117140915,-0.3294748,0.10154403,-0.9386149,5.9915666580200195,-1.7824914455413818,7.402692794799805,0.8948244452476501,0.773612380027771, 2.2255449295043945
8,220615724,-0.011809526,-0.32943365,0.10159766,-0.9386225,5.959632396697998,-1.7891566753387451,7.3828654289245605,0.9347419142723083,0.6370198726654053, 2.1799802780151367
9,220632391,-0.011874097,-0.32930046,0.10170767,-0.9386564,5.935026168823242,-1.806067705154419,7.382013320922852,0.8694295883178711,0.6436023712158203, 2.2548460960388184
10,220649058,-0.011858895,-0.3291254,0.10187045,-0.93870026,5.92104959487915,-1.8026978969573975,7.399411201477051,0.6275815963745117,0.5294209122657776, 2.3260109424591064
11,220665725,-0.0117407795,-0.32893187,0.10202999,-0.93875223,5.90482759475708,-1.8185806274414062,7.393156051635742,0.5396788120269775,0.3967215120792389, 2.3697445392608643
12,220682392,-0.011710113,-0.3287122,0.10223245,-0.9388076,5.92133903503418,-1.8010445833206177,7.361367702484131,0.5977299809455872,0.3062574863433838, 2.375225782394409
13,220699059,-0.011707444,-0.32851127,0.1024476,-0.93885463,5.948522090911865,-1.7921022176742554,7.397151947021484,0.46898773312568665,0.2128223329782486, 2.236558675765991
14,220715726,-0.0114761265,-0.3283608,0.102553144,-0.9388985,5.977288722991943,-1.804658055305481,7.383627891540527,0.5523698925971985,0.09559299796819687, 2.1400885581970215
15,220732393,-0.011290791,-0.32822523,0.10262195,-0.93894064,6.013520240783691,-1.8011325597763062,7.394015789031982,0.7993916273117065,0.1212313249707222, 1.9459058046340942
16,220749060,-0.011045044,-0.32811078,0.102640286,-0.9389816,6.0522308349609375,-1.796264410018921,7.378847122192383,0.8869357109069824,0.19736507534980774, 1.833888292312622
17,220765727,-0.010901584,-0.32798392,0.10269302,-0.93902194,6.0624494552612305,-1.7958862781524658,7.377072811126709,0.7461299300193787,0.4352557957172394, 1.7457038164138794
18,220782394,-0.010736234,-0.32786328,0.10274158,-0.93906057,6.07423210144043,-1.7797421216964722,7.378076553344727,0.5572363138198853,0.6065406799316406, 1.6281031370162964
19,220799061,-0.010429739,-0.32776055,0.10273607,-0.93910044,6.047852993011475,-1.7820086479187012,7.384149074554443,0.47847726941108704,0.7414044737815857, 1.5903629064559937
20,220815728,-0.010293295,-0.32764128,0.102784984,-0.93913823,6.024712085723877,-1.7774136066436768,7.402085304260254,0.43725359439849854,0.80474454164505, 1.5634183883666992
21,220832395,-0.010184942,-0.32751662,0.102841705,-0.9391766,5.9858174324035645,-1.7781782150268555,7.402075290679932,0.4689237177371979,0.8193438053131104, 1.6516156196594238
22,220849062,-0.009903452,-0.3274103,0.10281586,-0.9392196,5.960526943206787,-1.7858928442001343,7.37031364440918,0.7001038789749146,0.773612380027771, 1.7575881481170654
23,220865729,-0.009794185,-0.3272895,0.10284297,-0.93926,5.937746524810791,-1.7705583572387695,7.368811130523682,0.7738812565803528,0.7175974249839783, 1.7849937677383423
24,220882396,-0.009607402,-0.3271734,0.10286334,-0.9393001,5.95526123046875,-1.8018547296524048,7.3886919021606445,0.7027036547660828,0.6878995299339294, 1.9378634691238403
25,220899063,-0.009392573,-0.32706797,0.10289188,-0.9393359,5.943212032318115,-1.8048834800720215,7.3947529792785645,0.6279401779174805,0.5965645909309387, 2.0160205364227295
26,220915730,-0.009131331,-0.326954,0.10292228,-0.9393747,5.977540016174316,-1.811852216720581,7.408790588378906,0.5601177215576172,0.6520545482635498, 2.1124651432037354
27,220932397,-0.008914266,-0.32681146,0.10296735,-0.93942136,5.964573383331299,-1.8129570484161377,7.3767409324646,0.6322942972183228,0.8023370504379272, 2.197985887527466
28,220949064,-0.008785228,-0.3266589,0.103047125,-0.93946695,5.983620643615723,-1.7888849973678589,7.387756824493408,0.4798474609851837,0.8478893041610718, 2.0415947437286377
29,220965731,-0.008569385,-0.3265248,0.103105955,-0.93950915,5.986756324768066,-1.7930328845977783,7.402041435241699,0.3691878914833069,0.8035920858383179, 2.015674591064453
30,220982398,-0.008307301,-0.3264197,0.103126176,-0.93954587,5.981319427490234,-1.7919572591781616,7.3871026039123535,0.49502310156822205,0.6458562016487122, 1.9438694715499878
31,220999065,-0.008075984,-0.32631284,0.103142105,-0.9395832,5.992259979248047,-1.7512991428375244,7.414010047912598,0.5754085183143616,0.650568962097168, 1.9027866125106812
32,221015732,-0.007904106,-0.32622278,0.10320364,-0.9396092,6.020759582519531,-1.823629379272461,7.402390480041504,0.3336758315563202,0.4944083094596863, 1.8987396955490112
33,221032399,-0.007704101,-0.32611555,0.10321599,-0.9396468,5.981235504150391,-1.8200985193252563,7.408405780792236,0.7106436491012573,0.6383773684501648, 1.9596598148345947
34,221049066,-0.0074507645,-0.3260028,0.103227295,-0.9396866,5.966276168823242,-1.8613231182098389,7.374716281890869,0.6637211441993713,0.6964541077613831, 2.079655170440674
35,221065733,-0.0072204745,-0.3258707,0.10327542,-0.9397289,5.95678186416626,-1.833974003791809,7.391842842102051,0.5177415013313293,0.8091500401496887, 2.1672890186309814
36,221082400,-0.0069344854,-0.3257506,0.103317305,-0.93976814,5.925801753997803,-1.7961474657058716,7.398941516876221,0.46652892231941223,0.7517775893211365, 2.2220234870910645
37,221099067,-0.0066574076,-0.32565328,0.103346616,-0.9398006,5.896564960479736,-1.795320749282837,7.395339012145996,0.5071762800216675,0.5872927904129028, 2.112170457839966
38,221115734,-0.006491865,-0.32557604,0.1033948,-0.93982327,5.905106544494629,-1.7950727939605713,7.38748836517334,0.6129952073097229,0.3463541567325592, 2.0334372520446777
39,221132401,-0.0062076487,-0.32552895,0.1033759,-0.9398436,5.92932653427124,-1.8122320175170898,7.403676986694336,0.7671452164649963,0.22227342426776886, 1.9541914463043213
40,221149068,-0.005972179,-0.32548615,0.1033334,-0.9398646,5.96511697769165,-1.8667274713516235,7.377229690551758,0.9895403385162354,0.17034365236759186, 1.809581995010376
41,221165735,-0.0057283416,-0.32545593,0.10325634,-0.9398851,5.993842124938965,-1.8567209243774414,7.387084007263184,1.113953948020935,0.1336662769317627, 1.6038864850997925
42,221182402,-0.005597815,-0.32539928,0.10326169,-0.93990487,6.014480113983154,-1.8319919109344482,7.40658712387085,0.696198046207428,0.27959465980529785, 1.5261263847351074
43,221199069,-0.005456489,-0.3253241,0.10329584,-0.93992794,6.0238037109375,-1.826356291770935,7.411239147186279,0.4373176693916321,0.441454142332077, 1.5552352666854858
44,221215736,-0.0053191325,-0.32525826,0.10332049,-0.9399488,6.053783416748047,-1.8235650062561035,7.4211249351501465,0.4330531060695648,0.4095022678375244, 1.4336645603179932
45,221232403,-0.00522311,-0.32518584,0.1033196,-0.9399745,6.058956623077393,-1.8243170976638794,7.412156581878662,0.6240085959434509,0.472714364528656, 1.264646291732788
46,221249070,-0.005218319,-0.32509148,0.10330846,-0.94000846,6.030958652496338,-1.8301421403884888,7.416190147399902,0.9000495672225952,0.5859225392341614, 1.1882308721542358
47,221265737,-0.005084112,-0.32501534,0.10325263,-0.94004166,5.972582817077637,-1.8345391750335693,7.404640197753906,0.7986743450164795,0.5984086990356445, 1.0637017488479614
48,221282404,-0.0049568214,-0.32493445,0.10320897,-0.94007516,5.907625198364258,-1.8361645936965942,7.373075485229492,0.760076105594635,0.617323637008667, 1.1146197319030762
49,221299071,-0.004724894,-0.3248772,0.103141755,-0.9401034,5.9074015617370605,-1.8096882104873657,7.39629602432251,0.6936367750167847,0.5149112939834595, 1.153090238571167
50,221315738,-0.0044647506,-0.32483843,0.10308356,-0.9401245,5.905269145965576,-1.8082705736160278,7.383783340454102,0.6507994532585144,0.36355307698249817, 1.2901309728622437
51,221332405,-0.004272272,-0.32481477,0.103037335,-0.9401386,5.915518760681152,-1.8081001043319702,7.380924224853516,0.8424338102340698,0.15893320739269257, 1.4043378829956055
52,221349072,-0.004086909,-0.3247973,0.10301576,-0.94014776,5.946125507354736,-1.8093048334121704,7.372208118438721,0.7809248566627502,0.07091517001390457, 1.5613822937011719
53,221365739,-0.003897485,-0.32477182,0.10300976,-0.94015807,5.981923580169678,-1.8211203813552856,7.389773368835449,0.619103729724884,0.14639578759670258, 1.5385868549346924
54,221382406,-0.0036928463,-0.3247489,0.10300131,-0.9401678,5.994938850402832,-1.8092604875564575,7.38172721862793,0.6486865282058716,0.1289919763803482, 1.6098417043685913
55,221399073,-0.0035829055,-0.32471958,0.10299716,-0.94017875,6.002429962158203,-1.8404213190078735,7.383758068084717,0.7975859045982361,0.12645630538463593, 1.5032927989959717
56,221415740,-0.00329939,-0.3247067,0.1029047,-0.9401944,5.980197906494141,-1.8283071517944336,7.373697757720947,1.023169755935669,0.14832954108715057, 1.4858630895614624
57,221432407,-0.0031225386,-0.3246628,0.10286213,-0.94021475,5.990031719207764,-1.8115299940109253,7.358336925506592,0.7979059815406799,0.33635231852531433, 1.3489118814468384
58,221449074,-0.0028939403,-0.3246092,0.102828406,-0.9402377,5.9937028884887695,-1.7910065650939941,7.367020606994629,0.5887143611907959,0.4600617587566376, 1.3757158517837524
59,221465741,-0.002785386,-0.32454452,0.10283887,-0.9402592,6.015775203704834,-1.8156942129135132,7.394161701202393,0.46748942136764526,0.481499582529068, 1.264262080192566
60,221482408,-0.002656079,-0.3244604,0.102835506,-0.940289,6.028022289276123,-1.8080296516418457,7.378058910369873,0.45300543308258057,0.6682929396629333, 1.1861305236816406
61,221499075,-0.0026264943,-0.32436496,0.10288107,-0.94031703,6.024024486541748,-1.8220006227493286,7.401300430297852,0.33689022064208984,0.6816756129264832, 1.2011778354644775
62,221515742,-0.0025063127,-0.32428247,0.10286638,-0.9403474,6.0062360763549805,-1.811867594718933,7.404202938079834,0.5405623912811279,0.6691765785217285, 1.152449607849121
63,221532409,-0.0023951114,-0.3241923,0.10284152,-0.9403815,5.976981163024902,-1.8002206087112427,7.406644344329834,0.6439608335494995,0.7213369011878967, 1.1520271301269531
64,221549076,-0.0023061526,-0.32410428,0.102837674,-0.9404126,5.964487552642822,-1.8070615530014038,7.406349182128906,0.6112918257713318,0.666384756565094, 1.2572184801101685
65,221565743,-0.0022349511,-0.32402295,0.10283882,-0.94044054,5.926486492156982,-1.8114007711410522,7.397949695587158,0.6375705003738403,0.5957833528518677, 1.283420443534851
66,221582410,-0.0020594834,-0.32395467,0.10282256,-0.94046617,5.901230812072754,-1.8194918632507324,7.401345729827881,0.7102978229522705,0.5160895586013794, 1.5701802968978882
67,221599077,-0.0018692594,-0.32389185,0.10282907,-0.9404876,5.896340847015381,-1.8038336038589478,7.390018463134766,0.5790198445320129,0.46012574434280396, 1.6929545402526855
68,221615744,-0.0018322861,-0.32382637,0.102906086,-0.94050175,5.9022345542907715,-1.7968813180923462,7.406352519989014,0.5600793361663818,0.31600308418273926, 1.8503831624984741
69,221632411,-0.0016284651,-0.32378906,0.10292929,-0.9405124,5.933009624481201,-1.8053709268569946,7.420192718505859,0.566046953201294,0.22838202118873596, 1.8993415832519531
