PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,365065684,0.35494548,-0.20384166,-0.028600352,0.91194534,0.2024535834789276,0.04955599457025528,0.014844929799437523,0.23226261138916016,0.023109184578061104, -0.031044431030750275
2,365082351,0.3548707,-0.20421115,-0.02783963,0.91191536,-3.5346384048461914,-1.9033703804016113,9.121625900268555,-1.8275940418243408,0.08445146679878235, -0.42412069439888
3,365099018,0.35469544,-0.20441608,-0.027377546,0.9119517,-3.4732203483581543,-1.9526318311691284,8.996663093566895,-2.021738290786743,-0.14847680926322937, -0.37813305854797363
4,365115685,0.35482854,-0.20459211,-0.027377203,0.9118604,-3.4236538410186768,-1.9921364784240723,8.968096733093262,-1.4316730499267578,-0.056091807782649994, -0.24506230652332306
5,365132352,0.35483953,-0.2047054,-0.02775218,0.9118194,-3.3820273876190186,-1.9881397485733032,8.931209564208984,-1.1481789350509644,0.3125838041305542, -0.1091485247015953
6,365149019,0.35495797,-0.20475535,-0.028217174,0.91174775,-3.3936963081359863,-1.9795937538146973,8.953978538513184,-1.1617408990859985,0.4991339147090912, 0.09896106272935867
7,365165686,0.3548887,-0.20477138,-0.028684914,0.91175646,-3.434735059738159,-1.9654070138931274,8.966169357299805,-1.0711103677749634,0.5805182456970215, 0.16966493427753448
8,365182353,0.35478267,-0.20481886,-0.0290656,0.91177505,-3.4551761150360107,-1.975423812866211,9.03981876373291,-1.0140964984893799,0.6412715911865234, 0.14133727550506592
9,365199020,0.3546472,-0.2048627,-0.029350638,0.91180885,-3.4751391410827637,-2.000582695007324,9.036953926086426,-0.7544988989830017,0.6690868735313416, 0.1851862072944641
10,365215687,0.35460046,-0.2049213,-0.029586388,0.9118061,-3.4760262966156006,-2.010552406311035,8.992084503173828,-0.7180905342102051,0.5590035915374756, 0.14042803645133972
11,365232354,0.35454568,-0.20498884,-0.029843502,0.9118039,-3.494182586669922,-1.921239972114563,9.045209884643555,-0.8498677611351013,0.3443050980567932, -0.04539850726723671
12,365249021,0.35452846,-0.20504004,-0.030073278,0.91179156,-3.4571475982666016,-1.9859542846679688,9.027636528015137,-1.1759814023971558,0.10189371556043625, -0.1075093001127243
