PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,511120034,0.3533934,0.17264584,-0.118047446,0.9117958,-0.25531360507011414,-0.12651655077934265,0.09210321307182312,0.27139216661453247,0.13029904663562775, 0.16244107484817505
2,511136701,0.3517404,0.17021772,-0.11985903,0.91265476,4.2983622550964355,-1.3726788759231567,8.377942085266113,7.286217212677002,45.55925369262695, 19.505861282348633
3,511153368,0.35005477,0.16732967,-0.12354365,0.9133452,4.346472263336182,-1.4496108293533325,8.19151496887207,5.388627529144287,49.130428314208984, 21.547409057617188
4,511170035,0.34821323,0.16393952,-0.1272284,0.9141578,4.390698432922363,-1.5388286113739014,8.213201522827148,3.5362768173217773,51.9587287902832, 24.48265838623047
5,511186702,0.3462276,0.1597202,-0.13032983,0.91522133,4.598474025726318,-1.5264840126037598,8.131898880004883,1.887444019317627,54.68202209472656, 27.78437614440918
6,511203369,0.34422663,0.15529464,-0.13302435,0.91634935,4.70310115814209,-1.5738434791564941,8.263411521911621,-0.6781957149505615,56.333702087402344, 30.771268844604492
7,511220036,0.3405311,0.1506627,-0.13507764,0.9182012,4.764143943786621,-1.449365258216858,8.269647598266602,-3.041684627532959,58.17350769042969, 33.334171295166016
8,511236703,0.33679983,0.145734,-0.13650215,0.92016023,4.568051338195801,-1.3924139738082886,8.469427108764648,-3.904825210571289,59.81527328491211, 35.2857780456543
9,511253370,0.33326817,0.14016034,-0.13740465,0.9221754,4.49992036819458,-1.0096396207809448,8.464075088500977,-5.900835990905762,61.486427307128906, 35.36124038696289
10,511270037,0.3300485,0.13404188,-0.13813163,0.9241323,4.3211259841918945,-0.8881434798240662,8.709416389465332,-11.100687026977539,62.626182556152344, 35.12522506713867
11,511286704,0.32714376,0.12742878,-0.13868108,0.9260164,4.070376873016357,-0.9075053334236145,8.84442138671875,-15.172213554382324,63.16663360595703, 34.2203483581543
12,511303371,0.3245902,0.12035931,-0.13936964,0.927756,3.620689868927002,-0.8438094854354858,8.99504566192627,-19.907270431518555,62.76698684692383, 32.56679916381836
13,511320038,0.32225478,0.11264297,-0.14031748,0.9293948,3.076883554458618,-1.2095723152160645,8.68760871887207,-25.162015914916992,62.80797576904297, 31.77766990661621
14,511336705,0.31996202,0.104476884,-0.14109637,0.9310213,3.111175775527954,-1.2131561040878296,8.476244926452637,-25.18045997619629,62.61636734008789, 31.12447166442871
15,511353372,0.3176652,0.09605576,-0.14170589,0.9326209,3.441317319869995,-1.2475844621658325,8.654800415039062,-24.675737380981445,62.71917724609375, 30.819046020507812
16,511370039,0.31546065,0.0875646,-0.14203498,0.9341539,3.8183109760284424,-1.1913132667541504,9.194647789001465,-23.212400436401367,63.311988830566406, 29.848220825195312
17,511386706,0.31346387,0.07919899,-0.1421297,0.9355572,3.8784162998199463,-1.1993894577026367,9.742375373840332,-22.09600257873535,63.363773345947266, 28.094446182250977
18,511403373,0.31169534,0.07100708,-0.14196426,0.93683,3.6446874141693115,-1.2457231283187866,9.849668502807617,-20.811254501342773,63.125648498535156, 26.152034759521484
19,511420040,0.31020233,0.06320633,-0.14135994,0.93797493,3.3788039684295654,-1.1567456722259521,10.178929328918457,-17.758136749267578,61.62316131591797, 23.49786376953125
20,511436707,0.3089954,0.055543907,-0.14063498,0.93896675,2.814211845397949,-1.2551295757293701,9.954571723937988,-17.442096710205078,60.77057647705078, 21.0688419342041
21,511453374,0.30786565,0.048286777,-0.13928936,0.9399392,2.6927928924560547,-1.6662267446517944,10.097745895385742,-12.787638664245605,58.71062088012695, 19.641727447509766
22,511470041,0.30685657,0.041060895,-0.13767053,0.9408507,2.682577610015869,-1.7803010940551758,9.93172836303711,-10.738655090332031,58.495216369628906, 18.288108825683594
23,511486708,0.3061051,0.034041785,-0.13590558,0.9416319,2.725595235824585,-1.722036361694336,9.68886661529541,-9.126176834106445,57.26224136352539, 15.839755058288574
24,511503375,0.30558112,0.027238023,-0.13401918,0.9422936,2.4477646350860596,-2.1773414611816406,9.542654991149902,-7.690547943115234,56.15080642700195, 13.698263168334961
25,511520042,0.3053144,0.021054598,-0.13162975,0.94287527,2.218837261199951,-2.6480720043182373,9.553144454956055,-2.5247981548309326,53.144596099853516, 10.944849967956543
26,511536709,0.305197,0.015620025,-0.12898068,0.9433849,1.7689592838287354,-2.7926316261291504,10.017325401306152,1.6117764711380005,48.63296127319336, 8.829728126525879
27,511553376,0.30518514,0.010520165,-0.1272848,0.9436896,1.9006274938583374,-2.2626588344573975,10.714998245239258,-3.229668617248535,43.95981216430664, 7.230253219604492
