PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,985825245,0.7300973,-0.17110978,-0.64196396,-0.15988013,0.11699660122394562,-0.0928562581539154,0.05763410031795502,0.19240598380565643,0.27695414423942566, 0.05614665523171425
2,985841912,0.7291667,-0.17268611,-0.64314455,-0.15767232,9.784539222717285,-0.3846447765827179,1.0009416341781616,1.7285696268081665,8.478618621826172, 2.2421298027038574
3,985858579,0.72855765,-0.17245473,-0.644222,-0.15633738,9.354717254638672,-0.3764209747314453,1.0291739702224731,0.5869086384773254,5.408358573913574, 1.9322925806045532
4,985875246,0.72813475,-0.1718152,-0.64504254,-0.15562621,9.316990852355957,-0.4522657096385956,0.9160081148147583,-0.302857369184494,0.783511757850647, 1.119307041168213
5,985891913,0.72743905,-0.17126977,-0.64614886,-0.15489036,9.428633689880371,-0.46551311016082764,1.1144721508026123,-0.7756295800209045,-2.954028367996216, -0.10045301169157028
6,985908580,0.7269391,-0.1711312,-0.64675075,-0.15487818,9.649728775024414,-0.3117047846317291,1.716958999633789,-4.036753177642822,-3.632239580154419, -1.5396817922592163
7,985925247,0.72701806,-0.17141211,-0.64625853,-0.15624553,9.75008487701416,-0.23319491744041443,1.0631006956100464,-9.172281265258789,-3.9455604553222656, -2.5246572494506836
8,985941914,0.7266707,-0.17161359,-0.6463111,-0.15741907,9.697915077209473,-0.42677751183509827,0.6914704442024231,-8.379032135009766,-5.672306060791016, -1.772233247756958
9,985958581,0.7258977,-0.17193241,-0.6469108,-0.15817116,9.525405883789062,-0.32750415802001953,0.801766037940979,-6.37962532043457,-6.432784557342529, -1.3943684101104736
10,985975248,0.72474086,-0.17257056,-0.64783585,-0.15899393,9.459573745727539,-0.305679589509964,0.7758508920669556,-5.282505512237549,-8.716824531555176, -1.0193345546722412
11,985991915,0.72328186,-0.17309178,-0.64918464,-0.1595679,9.481812477111816,-0.43378275632858276,0.8303622603416443,-3.7900280952453613,-11.58492374420166, -1.3139320611953735
12,986008582,0.721611,-0.17372207,-0.650715,-0.16021262,9.72895336151123,-0.5765496492385864,1.4803324937820435,-2.1110639572143555,-13.553019523620605, -2.1094374656677246
13,986025249,0.7201245,-0.1745969,-0.65182334,-0.16144043,10.036198616027832,-0.500154972076416,1.9392741918563843,-4.48656702041626,-12.669496536254883, -4.036000728607178
14,986041916,0.718986,-0.175654,-0.6524349,-0.16289234,10.293334007263184,-0.6107276082038879,0.8597168922424316,-8.158456802368164,-11.420839309692383, -3.892390489578247
15,986058583,0.71790296,-0.17693338,-0.65290314,-0.16440043,10.334598541259766,-0.7943626642227173,0.04267119988799095,-5.226196765899658,-9.818352699279785, -3.1278886795043945
16,986075250,0.7169926,-0.17795956,-0.6533501,-0.16548574,10.060763359069824,-0.3988094925880432,-0.29221028089523315,-2.486366033554077,-6.607271194458008, -2.8280651569366455
17,986091917,0.7162564,-0.17887609,-0.6536813,-0.1663762,9.8080415725708,-0.14287060499191284,-0.34723421931266785,-0.7942498326301575,-3.0560691356658936, -1.7840014696121216
18,986108584,0.71587855,-0.17910421,-0.65401703,-0.16643749,9.5432767868042,-0.021142536774277687,-0.3653453290462494,-0.24597157537937164,0.1990683227777481, -0.3627014458179474
19,986125251,0.7156776,-0.17946066,-0.65408164,-0.16666375,9.504387855529785,-0.111030213534832,-0.2738628089427948,0.14236178994178772,3.408557415008545, 0.7010388374328613
20,986141918,0.71574837,-0.17986348,-0.6538255,-0.16693075,9.517496109008789,-0.1354030966758728,-0.370434433221817,0.4362804591655731,6.785772800445557, 1.7946631908416748
21,986158585,0.71601695,-0.18042612,-0.6532683,-0.16735339,9.447159767150879,-0.2981927692890167,-0.4543980658054352,-0.03661336749792099,9.646675109863281, 2.6456198692321777
22,986175252,0.7165067,-0.18085778,-0.65254843,-0.16759823,9.511104583740234,-0.3876292109489441,0.018554387614130974,0.6684213280677795,11.846294403076172, 3.2903945446014404
23,986191919,0.7170874,-0.1820856,-0.65125906,-0.16879643,9.704551696777344,-0.2552112936973572,0.7660089731216431,-2.398439407348633,14.91224479675293, 3.3587565422058105
24,986208586,0.7180158,-0.18275635,-0.6498872,-0.16941169,10.022454261779785,-0.21976391971111298,0.9727826118469238,-7.289229393005371,16.370241165161133, 3.4050521850585938
25,986225253,0.7187701,-0.18415394,-0.6483415,-0.17061722,9.915104866027832,-0.47602882981300354,0.642643928527832,-11.155933380126953,15.387970924377441, 4.0939202308654785
26,986241920,0.7198454,-0.18344516,-0.6477367,-0.16913801,9.637845039367676,-0.491525799036026,0.7057785987854004,-12.969465255737305,11.977131843566895, 4.626420021057129
27,986258587,0.71972185,-0.18608852,-0.6465275,-0.17138816,9.421768188476562,-0.2746019959449768,0.8594719767570496,-13.123406410217285,8.458504676818848, 3.6416096687316895
28,986275254,0.7201329,-0.18554127,-0.64647067,-0.17046651,9.437684059143066,-0.40800219774246216,1.187604546546936,-11.87134075164795,5.817332744598389, 1.4395818710327148
29,986291921,0.7200308,-0.18576828,-0.6464927,-0.17056678,9.593259811401367,-0.4776335060596466,1.2575281858444214,-9.578986167907715,2.4457507133483887, 0.14238743484020233
30,986308588,0.7198509,-0.1853984,-0.6469401,-0.1700324,9.682084083557129,-0.5819959044456482,1.3583014011383057,-6.603991508483887,-0.4775872230529785, -0.37940093874931335
31,986325255,0.7193258,-0.18553273,-0.6474693,-0.1700937,9.688774108886719,-0.5981383323669434,1.3946683406829834,-5.206191062927246,-3.058694362640381, -1.051900863647461
32,986341922,0.7186773,-0.18551764,-0.64821297,-0.17001806,9.722780227661133,-0.6407469511032104,1.4526066780090332,-4.258419513702393,-5.080727577209473, -1.6043797731399536
33,986358589,0.7178651,-0.1855373,-0.649074,-0.1701434,9.690529823303223,-0.5610194802284241,1.1430249214172363,-2.7635083198547363,-6.7008466720581055, -2.6479434967041016
34,986375256,0.7169407,-0.18554966,-0.65004647,-0.17031483,9.7024564743042,-0.6303499341011047,0.8957343697547913,-1.5576624870300293,-7.960110187530518, -3.1183218955993652
35,986391923,0.71608734,-0.18525603,-0.6510812,-0.17027198,9.711368560791016,-0.6806114315986633,0.6025417447090149,1.428414225578308,-7.967293739318848, -3.4809842109680176
36,986408590,0.71548885,-0.18435374,-0.6521385,-0.16972005,9.706279754638672,-0.522266149520874,0.49466389417648315,6.484862804412842,-6.814390659332275, -3.5754830837249756
37,986425257,0.7150421,-0.18323554,-0.65314704,-0.16893347,9.682456970214844,-0.3924679756164551,0.4957222044467926,8.227269172668457,-5.860393047332764, -3.2178781032562256
38,986441924,0.71472925,-0.18206151,-0.65406036,-0.167991,9.720144271850586,-0.3120152950286865,0.5522529482841492,8.956962585449219,-4.869526386260986, -2.4321186542510986
39,986458591,0.714512,-0.18098575,-0.65480894,-0.1671589,9.789523124694824,-0.16738559305667877,0.31967687606811523,9.1957368850708,-3.6478004455566406, -2.074014663696289
40,986475258,0.7143106,-0.18029337,-0.65533054,-0.16672325,9.87381362915039,-0.217533141374588,0.35748448967933655,7.332718849182129,-2.408618927001953, -1.756980299949646
