PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
2,848695983,0.91204333,0.09879926,-0.21244198,0.3365773,4.929279327392578,0.4583761692047119,9.527288436889648,16.951656341552734,-45.23693084716797, 6.386292457580566
3,848712650,0.90948784,0.10538004,-0.2189778,0.33730668,4.99685525894165,0.4883674681186676,8.93502140045166,21.13578987121582,-49.70405197143555, 6.840129852294922
4,848729317,0.9066614,0.1118042,-0.22652973,0.33786026,5.113645076751709,0.7908207178115845,9.256195068359375,20.512178421020508,-51.95746612548828, 7.805487155914307
5,848745984,0.9037512,0.118904606,-0.2333767,0.33857217,5.1249237060546875,0.9134604334831238,9.44681453704834,23.41912841796875,-55.39463806152344, 9.646501541137695
6,848762651,0.9010425,0.12500188,-0.23958418,0.33925852,5.188754558563232,1.0507477521896362,9.570450782775879,17.76827049255371,-56.42914962768555, 11.186339378356934
7,848779318,0.89845717,0.13076688,-0.24549682,0.3397147,4.9577131271362305,1.3758995532989502,9.97887134552002,15.84695053100586,-59.20599365234375, 10.419739723205566
8,848795985,0.8960843,0.1365076,-0.25065082,0.33996004,5.22892951965332,1.7406328916549683,8.894018173217773,15.658217430114746,-61.98863220214844, 9.669878959655762
9,848812652,0.8933475,0.14298192,-0.25648823,0.34014755,6.185795307159424,1.2443939447402954,9.921942710876465,16.35675811767578,-66.55880737304688, 11.317681312561035
10,848829319,0.8901276,0.14997134,-0.26303765,0.34057766,5.659772872924805,1.0512386560440063,9.341913223266602,21.577518463134766,-70.80030822753906, 12.026212692260742
11,848845986,0.8865996,0.15663259,-0.27008998,0.3412609,5.87117862701416,0.8995625972747803,9.287312507629395,21.985076904296875,-73.6306381225586, 13.785826683044434
12,848862653,0.8829833,0.16269574,-0.2771375,0.34214818,5.7766547203063965,0.5963665246963501,9.685983657836914,21.418222427368164,-72.02291870117188, 14.68517017364502
13,848879320,0.87947863,0.16755636,-0.28434554,0.34291404,6.213133811950684,1.2907685041427612,9.814706802368164,16.218685150146484,-71.67848205566406, 14.351648330688477
14,848895987,0.8758604,0.17188147,-0.29201597,0.34358734,6.887694358825684,1.038157343864441,9.024950981140137,12.126359939575195,-74.13111877441406, 15.57673168182373
15,848912654,0.8719081,0.17623763,-0.30030358,0.34428856,6.893535137176514,1.4299683570861816,9.299067497253418,11.892603874206543,-76.63199615478516, 16.533124923706055
16,848929321,0.8677195,0.18084997,-0.30878288,0.3449774,6.952784061431885,1.0576428174972534,8.874935150146484,13.060197830200195,-78.34577178955078, 16.854488372802734
17,848945988,0.8632053,0.18595396,-0.3172965,0.34586272,7.283865451812744,1.0895390510559082,9.322022438049316,17.140380859375,-79.49600982666016, 17.4035587310791
18,848962655,0.8589869,0.19011894,-0.325362,0.34660643,6.638914585113525,1.1736266613006592,9.330422401428223,12.303670883178711,-74.08777618408203, 17.036174774169922
19,848979322,0.8550434,0.19405514,-0.33256495,0.34733856,7.1017022132873535,0.8650192022323608,8.413843154907227,12.807538032531738,-68.8507308959961, 15.683857917785645
20,848995989,0.8509617,0.19914553,-0.3389873,0.34827155,7.386870384216309,1.0557022094726562,8.658507347106934,22.427162170410156,-66.643798828125, 13.156618118286133
21,849012656,0.8468667,0.20487976,-0.3446561,0.3493612,7.5509772300720215,1.3267345428466797,8.886212348937988,28.509180068969727,-63.41487121582031, 11.458303451538086
22,849029323,0.8428992,0.21089233,-0.34971204,0.35035267,7.761009216308594,2.1347689628601074,8.600156784057617,31.143264770507812,-60.42747497558594, 9.178393363952637
23,849045990,0.8389561,0.21705666,-0.35425133,0.3514903,7.887716770172119,1.8567839860916138,8.468610763549805,33.009681701660156,-57.34677505493164, 9.536149024963379
24,849062657,0.83516735,0.22707401,-0.3545629,0.35386214,8.472454071044922,3.0725107192993164,9.06998062133789,68.01759338378906,-39.84100341796875, 0.9349672198295593
25,849079324,0.830387,0.23832998,-0.3564597,0.3557987,7.6870341300964355,3.5935418605804443,6.380092144012451,71.07955169677734,-54.995941162109375, 1.3093650341033936
26,849095991,0.82465506,0.24917044,-0.3619669,0.35614356,8.584428787231445,4.32485294342041,3.67252779006958,56.60545349121094,-78.32295989990234, 2.5950489044189453
27,849112658,0.8189743,0.2590516,-0.3698748,0.35407102,9.68623161315918,4.959082126617432,3.5609755516052246,37.976959228515625,-90.78733825683594, -3.6109378337860107
28,849129325,0.81294215,0.2690844,-0.3783179,0.3515597,10.460866928100586,5.1164116859436035,6.720562934875488,35.93964385986328,-93.19775390625, -3.5669116973876953
29,849145992,0.8099382,0.27249336,-0.38700104,0.3463778,11.871742248535156,8.743855476379395,10.430261611938477,-14.699803352355957,-74.96028900146484, -7.2913055419921875
30,849162659,0.81002164,0.2707013,-0.3927418,0.3410862,8.106058120727539,5.032245635986328,15.10994815826416,-43.85725021362305,-39.24872589111328, -4.6929826736450195
31,849179326,0.8078108,0.277048,-0.39342576,0.34044483,9.274248123168945,3.6893420219421387,8.654109954833984,30.835134506225586,-31.90932846069336, -4.298084259033203
32,849195993,0.80715364,0.2813873,-0.39237848,0.33965194,9.283685684204102,4.625970363616943,8.113479614257812,20.754125595092773,-14.0662202835083, -6.892251968383789
33,849212660,0.8077175,0.2848277,-0.3896712,0.33855876,9.797369003295898,3.570533275604248,9.977225303649902,16.526931762695312,-0.1828877478837967, -12.128348350524902
34,849229327,0.8087657,0.29010445,-0.38391203,0.33815536,9.953635215759277,3.413316249847412,10.918476104736328,35.224510192871094,14.475789070129395, -20.7639217376709
35,849245994,0.81115305,0.29445633,-0.37604198,0.3375186,9.291154861450195,4.047732353210449,10.44041633605957,32.27874755859375,30.629846572875977, -27.453041076660156
36,849262661,0.81545645,0.2958629,-0.36699918,0.3358686,8.514138221740723,3.252453327178955,9.057394027709961,12.430622100830078,46.270694732666016, -32.5945930480957
37,849279328,0.8213815,0.29491478,-0.3568184,0.3332245,8.500738143920898,2.9790189266204834,8.474684715270996,-3.5661070346832275,59.9192008972168, -38.834720611572266
38,849295995,0.8287647,0.2912981,-0.3457922,0.32973123,8.471087455749512,2.114759683609009,8.589978218078613,-21.388492584228516,72.6826171875, -42.80609893798828
39,849312662,0.83641785,0.28742245,-0.33333033,0.3266262,8.51272201538086,1.6450798511505127,8.658462524414062,-18.724374771118164,82.95549774169922, -44.343017578125
40,849329329,0.84433955,0.2827379,-0.31978473,0.32386374,8.420052528381348,1.7485055923461914,8.411908149719238,-20.140413284301758,92.49581909179688, -44.188053131103516
41,849345996,0.8521346,0.277878,-0.30518848,0.32173076,7.911771297454834,1.3163628578186035,8.346442222595215,-16.736797332763672,100.27906799316406, -42.71283721923828
42,849362663,0.85956216,0.27304205,-0.28951344,0.32059833,7.556405067443848,1.3726913928985596,7.932580947875977,-10.926506042480469,108.049560546875, -38.91797637939453
