PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,2178449541,0.90094024,-0.10307993,-0.40327662,0.122675695,0.030941180884838104,0.013375849463045597,0.012803522869944572,-0.2913709878921509,-0.26973026990890503, -0.5418951511383057
2,2178466208,0.90005016,-0.107727006,-0.40308678,0.12580155,9.844271659851074,-5.209766864776611,7.667769432067871,24.804847717285156,-11.864758491516113, -8.886645317077637
3,2178482875,0.89579904,-0.11293695,-0.40940598,0.13105737,11.092588424682617,-5.799247741699219,6.582830905914307,43.84623336791992,-2.838444709777832, -8.012899398803711
4,2178499542,0.8894078,-0.11579776,-0.42069274,0.1362435,10.849422454833984,-5.131253242492676,6.995691776275635,67.3249282836914,13.492223739624023, -8.225748062133789
5,2178516209,0.8854827,-0.11451385,-0.42792425,0.14031428,10.21903133392334,-4.069807529449463,7.775294303894043,74.74459075927734,26.33243179321289, -4.158109188079834
6,2178532876,0.8847052,-0.111893885,-0.42912045,0.14363946,9.322434425354004,-3.5527398586273193,8.426292419433594,58.283870697021484,37.99168395996094, 8.105989456176758
7,2178549543,0.88650525,-0.11051787,-0.42473018,0.14662495,9.72681999206543,-3.6750030517578125,8.265661239624023,37.773040771484375,49.71226119995117, 21.36529541015625
8,2178566210,0.88961756,-0.11024568,-0.41701004,0.1500971,9.757231712341309,-3.4313197135925293,8.117359161376953,28.757661819458008,64.45574951171875, 32.759029388427734
9,2178582877,0.8932816,-0.11166904,-0.40745285,0.15349422,9.802803039550781,-2.852658271789551,7.214998722076416,16.176841735839844,76.03105163574219, 41.42963409423828
10,2178599544,0.8973413,-0.11285687,-0.39629272,0.15809453,9.292189598083496,-1.8090176582336426,7.100211143493652,15.344954490661621,92.01775360107422, 48.468650817871094
11,2178616211,0.90196913,-0.114464164,-0.3835027,0.16209733,9.240289688110352,-1.1425987482070923,7.214089870452881,8.87913990020752,106.3446044921875, 51.460365295410156
12,2178632878,0.9071235,-0.11573685,-0.3692278,0.16553797,8.94625473022461,-0.16423489153385162,7.462894916534424,7.039958477020264,118.51139068603516, 51.836299896240234
13,2178649545,0.91251135,-0.116931304,-0.35402763,0.16826981,8.483946800231934,-0.19872534275054932,6.953954219818115,1.6626478433609009,125.8546371459961, 51.44124221801758
14,2178666212,0.91800344,-0.117656305,-0.3378563,0.17111364,8.014066696166992,-0.2438848316669464,6.8977861404418945,3.5818793773651123,132.66517639160156, 52.749271392822266
15,2178682879,0.9232098,-0.11968412,-0.32124758,0.17366481,7.376837730407715,0.7516090869903564,6.677971839904785,-6.224618911743164,137.07559204101562, 54.189964294433594
16,2178699546,0.9284463,-0.12167043,-0.30362386,0.17605886,6.499425888061523,0.36470359563827515,7.022180557250977,-7.169821262359619,143.76718139648438, 53.829158782958984
