PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,2600887991,0.87117684,0.051346656,-0.29806742,0.38674358,-0.1436673253774643,0.21596220135688782,0.0746261477470398,-0.3144696354866028,-0.0371413454413414, -0.7195481061935425
2,2600904658,0.8790423,0.052768033,-0.27006823,0.38931176,2.874715805053711,0.34449249505996704,5.193987846374512,7.5612311363220215,154.30479431152344, 8.703731536865234
3,2600921325,0.88675636,0.054409362,-0.24350765,0.38911042,2.0199508666992188,0.03315875306725502,5.5239386558532715,3.2652125358581543,140.51876831054688, 4.645090579986572
4,2600937992,0.89324474,0.051939968,-0.21811305,0.38967028,0.9797560572624207,-0.11495713889598846,6.1408305168151855,-0.8540652990341187,126.80238342285156, 2.9387946128845215
5,2600954659,0.8988044,0.046862304,-0.19233604,0.3911029,0.018279530107975006,-0.7975835800170898,5.68121862411499,3.71016526222229,114.6610336303711, 2.432941436767578
6,2600971326,0.9031489,0.041316606,-0.16756319,0.39311314,-0.4244987666606903,-1.0505532026290894,4.878301620483398,21.54403305053711,101.27368927001953, -0.09792105853557587
7,2600987993,0.90622085,0.03658553,-0.14539662,0.39532927,-0.7410457134246826,-0.918707013130188,4.953701019287109,34.31428527832031,86.15596008300781, 0.10664810240268707
8,2601004660,0.90832543,0.032396886,-0.12661861,0.39731985,-1.0048363208770752,-0.14573945105075836,4.806629657745361,33.78006362915039,67.65406799316406, 1.062596321105957
9,2601021327,0.90969515,0.029429005,-0.11106725,0.39906487,-1.2124042510986328,-0.22141744196414948,4.007647514343262,29.2753963470459,48.83928298950195, 2.959075450897217
10,2601037994,0.9105813,0.028174618,-0.09913004,0.40027657,-1.6495221853256226,0.0025666868314146996,3.058516502380371,28.770267486572266,27.015779495239258, 1.3251763582229614
11,2601054661,0.91110486,0.02744427,-0.090794146,0.4011125,-1.920446753501892,-0.18012675642967224,3.529049873352051,20.484512329101562,7.058876991271973, 1.1150314807891846
12,2601071328,0.9113518,0.026620312,-0.08550625,0.401769,-2.2206945419311523,-0.004591776989400387,4.947658061981201,11.314399719238281,-9.387049674987793, 1.675795555114746
13,2601087995,0.91143644,0.025905672,-0.081936926,0.40236673,-2.216533660888672,-0.33033713698387146,6.915775299072266,6.448923110961914,-19.695581436157227, 2.278618335723877
