PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,2848710695,0.90169394,-0.060067788,-0.3449983,0.2536064,-0.15670937299728394,-0.034993622452020645,0.24264664947986603,-0.40965408086776733,-0.15450245141983032, -0.8066086173057556
2,2848727362,0.90727484,-0.046981737,-0.34215903,0.23994242,8.466081619262695,-2.567274332046509,13.554464340209961,-84.75704193115234,-100.38624572753906, -44.27283477783203
3,2848744029,0.9126869,-0.035669204,-0.33634645,0.22935033,8.778923988342285,-4.32205057144165,11.326794624328613,-64.9754867553711,-83.67647552490234, -40.50440216064453
4,2848760696,0.9126622,-0.036267295,-0.3409754,0.22241466,9.262492179870605,-3.367978572845459,10.034625053405762,-49.345863342285156,-72.12254333496094, -38.78654861450195
5,2848777363,0.9102021,-0.036785025,-0.35141402,0.21607329,8.771790504455566,-4.5201568603515625,9.625247955322266,-35.16830825805664,-63.397891998291016, -35.45939254760742
6,2848794030,0.90723366,-0.03751974,-0.36083087,0.21288612,8.552759170532227,-4.03148889541626,10.032264709472656,-5.054814338684082,-48.82947540283203, -30.25021743774414
7,2848810697,0.9049646,-0.037602562,-0.36736053,0.21135633,8.130559921264648,-4.56362247467041,9.194998741149902,7.270542621612549,-37.00050735473633, -24.10359001159668
8,2848827364,0.9030622,-0.03784766,-0.3717409,0.21179,8.463647842407227,-5.665380001068115,9.310952186584473,17.97673225402832,-26.245452880859375, -16.073131561279297
9,2848844031,0.9017029,-0.037204217,-0.3737248,0.21419121,8.89991283416748,-5.0964484214782715,10.201181411743164,38.07472610473633,-13.55113697052002, -12.534025192260742
10,2848860698,0.90079844,-0.036678724,-0.37443665,0.21682848,8.92176628112793,-4.649089813232422,9.519902229309082,37.5936393737793,-7.737666130065918, -10.163098335266113
11,2848877365,0.90029985,-0.03625308,-0.37415823,0.21943487,9.043295860290527,-4.497504234313965,8.758713722229004,35.33074951171875,-0.052954498678445816, -7.455634593963623
12,2848894032,0.89954627,-0.038086466,-0.37447965,0.22165607,8.887337684631348,-3.9826879501342773,7.686273097991943,17.120153427124023,1.775301218032837, -0.8218867182731628
13,2848910699,0.8989026,-0.041945398,-0.3746629,0.22325444,8.72572135925293,-3.84328556060791,8.063126564025879,0.8247612714767456,9.889060020446777, 3.9195189476013184
